,Blinkroot Seed,Daybloom Seed,Deathweed Seed,Fireblossom Seed,Moonglow Seed,Shiverthorn Seed,Waterleaf Seed
Herb_Bag_66,21,34,15,13,13,10,6
Herb_Bag_67,25,34,27,31,11,28,15
Herb_Bag_68,31,33,18,22,15,27,17
Herb_Bag_69,29,34,19,27,0,30,22
Herb_Bag_70,13,41,25,42,0,17,28
Herb_Bag_71,23,23,19,34,6,19,12
Herb_Bag_72,17,0,14,22,11,16,16
Herb_Bag_73,25,26,21,20,8,21,9
Herb_Bag_74,30,37,3,18,1,24,10
Herb_Bag_75,19,23,14,50,12,23,20
Herb_Bag_76,23,18,15,10,12,21,11
Herb_Bag_77,14,38,15,16,0,18,7
Herb_Bag_78,17,20,29,2,21,7,18
Herb_Bag_79,19,33,18,22,9,13,18
Herb_Bag_80,32,36,12,50,3,20,6
Herb_Bag_81,21,28,13,35,11,18,12
Herb_Bag_82,26,7,36,52,5,41,23
Herb_Bag_83,28,0,24,37,11,17,4
Herb_Bag_84,16,29,25,4,12,27,24
Herb_Bag_85,18,20,13,29,4,11,13
Herb_Bag_86,25,20,23,13,15,15,20
Herb_Bag_87,15,17,21,16,19,26,18
Herb_Bag_88,22,7,11,27,9,24,10
Herb_Bag_89,7,7,22,29,10,24,25
Herb_Bag_90,22,35,24,0,5,34,7
Herb_Bag_91,18,41,20,26,0,24,12
Herb_Bag_92,20,15,14,18,12,23,25
Herb_Bag_93,6,26,14,31,8,27,7
Herb_Bag_94,24,19,19,30,6,13,16
Herb_Bag_95,27,34,14,6,16,11,26
Herb_Bag_96,11,11,19,21,15,5,21
Herb_Bag_97,25,22,18,13,9,26,23
Herb_Bag_98,16,22,22,23,16,17,22
Herb_Bag_99,20,32,22,6,6,11,4
Herb_Bag_100,29,13,19,17,19,18,7
Herb_Bag_101,27,23,20,17,13,16,17
Herb_Bag_102,16,52,24,0,8,23,17
Herb_Bag_103,16,20,24,0,6,23,17
Herb_Bag_104,32,27,32,34,6,18,10
Herb_Bag_105,11,36,16,8,14,12,18
Herb_Bag_106,16,23,22,37,2,0,13
Herb_Bag_107,17,22,22,12,15,25,23
Herb_Bag_108,22,31,21,24,4,25,19
Herb_Bag_109,25,34,25,27,4,21,18
Herb_Bag_110,10,13,14,25,6,21,23
Herb_Bag_111,19,40,19,28,7,21,18
Herb_Bag_112,27,18,18,12,7,25,14
Herb_Bag_113,19,34,22,17,7,40,21
Herb_Bag_114,31,24,16,10,18,18,0
Herb_Bag_115,13,17,16,20,2,15,12
Herb_Bag_116,16,13,26,21,8,10,14
Herb_Bag_117,17,23,16,20,4,23,20
Herb_Bag_118,17,0,24,40,16,14,20
Herb_Bag_119,24,20,14,12,8,23,29
Herb_Bag_120,28,14,11,23,11,12,19
Herb_Bag_121,26,37,11,9,24,13,9
Herb_Bag_122,18,19,25,38,10,27,14
Herb_Bag_123,27,0,11,23,15,24,15
Herb_Bag_124,12,24,12,17,0,28,14
Herb_Bag_125,21,30,26,48,9,21,21
Herb_Bag_126,11,27,18,7,0,20,21
Herb_Bag_127,19,18,29,12,16,11,18
Herb_Bag_128,20,15,26,44,12,14,20
Herb_Bag_129,19,24,19,18,8,17,10
Herb_Bag_130,2,25,17,23,6,35,21
Herb_Bag_131,17,8,22,29,13,26,0
Herb_Bag_132,13,36,19,43,15,8,5
Herb_Bag_133,22,44,20,13,6,17,14
Herb_Bag_134,17,36,26,29,10,23,2
Herb_Bag_135,18,30,25,25,10,21,15
Herb_Bag_136,19,11,20,18,12,20,20
Herb_Bag_137,25,28,15,9,5,11,17
Herb_Bag_138,22,13,20,0,9,38,9
Herb_Bag_139,28,5,11,4,16,21,15
Herb_Bag_140,12,29,19,49,8,17,17
Herb_Bag_141,24,34,15,50,17,7,10
Herb_Bag_142,23,20,23,0,10,12,12
Herb_Bag_143,16,24,8,51,9,20,0
Herb_Bag_144,22,30,19,0,21,20,13
Herb_Bag_145,14,11,9,32,5,25,15
Herb_Bag_146,23,18,16,16,2,19,16
Herb_Bag_147,25,25,28,27,3,19,7
Herb_Bag_148,27,32,23,14,8,24,3
Herb_Bag_149,26,25,13,9,10,17,12
Herb_Bag_150,16,19,23,0,10,11,17
Herb_Bag_151,26,28,20,23,8,21,16
Herb_Bag_152,29,7,25,5,13,17,31
Herb_Bag_153,19,14,31,24,8,15,11
Herb_Bag_154,17,27,24,12,8,27,24
Herb_Bag_155,17,11,8,10,10,19,9
Herb_Bag_156,28,22,12,5,9,15,7
Herb_Bag_157,31,35,17,21,9,24,23
Herb_Bag_158,17,22,20,14,18,16,17
Herb_Bag_159,29,20,14,21,2,25,12
Herb_Bag_160,24,16,18,31,9,20,14
Herb_Bag_161,11,27,23,46,12,21,24
Herb_Bag_162,21,4,20,30,2,21,14
Herb_Bag_163,20,22,21,41,7,18,11
Herb_Bag_164,24,41,14,40,2,8,10
Herb_Bag_165,16,24,30,10,13,29,14
Herb_Bag_166,30,16,18,25,6,16,11
Herb_Bag_167,36,15,13,26,4,18,10
Herb_Bag_168,22,26,21,22,17,17,16
Herb_Bag_169,21,11,24,23,10,20,15
Herb_Bag_170,21,25,20,0,9,18,8
Herb_Bag_171,13,19,21,26,9,18,4
Herb_Bag_172,25,7,20,17,5,33,26
Herb_Bag_173,17,30,25,39,7,21,14
Herb_Bag_174,17,25,20,41,5,14,14
Herb_Bag_175,19,27,19,16,8,22,3
Herb_Bag_176,33,35,24,7,2,13,23
Herb_Bag_177,18,29,22,13,15,20,12
Herb_Bag_178,9,3,34,22,4,25,8
Herb_Bag_179,22,23,26,41,1,24,24
Herb_Bag_180,16,7,22,0,11,11,18
Herb_Bag_181,14,0,20,5,7,19,23
Herb_Bag_182,25,18,24,34,11,15,9
Herb_Bag_183,19,26,18,2,11,15,29
Herb_Bag_184,17,36,18,21,14,28,17
Herb_Bag_185,12,25,28,18,19,19,10
Herb_Bag_186,9,24,29,16,12,18,21
Herb_Bag_187,19,17,12,36,6,20,10
Herb_Bag_188,13,13,23,13,16,14,12
Herb_Bag_189,18,53,8,37,13,27,9
Herb_Bag_190,28,11,22,46,5,14,19
Herb_Bag_191,21,26,22,9,10,20,20
Herb_Bag_192,12,43,22,8,15,27,13
Herb_Bag_193,23,7,29,21,2,13,26
Herb_Bag_194,22,23,21,29,11,15,10
Herb_Bag_195,16,19,19,24,20,19,6
Herb_Bag_196,18,18,25,3,14,25,10
Herb_Bag_197,14,15,21,10,2,12,21
Herb_Bag_198,16,17,23,8,11,14,15
Herb_Bag_199,25,37,24,15,10,14,27
Herb_Bag_200,16,38,30,0,9,31,16
Herb_Bag_201,10,0,17,32,9,23,24
Herb_Bag_202,31,15,23,13,15,14,20
Herb_Bag_203,26,0,22,0,12,11,27
Herb_Bag_204,29,29,23,52,11,12,3
Herb_Bag_205,10,6,27,21,3,20,13
Herb_Bag_206,26,10,18,16,6,21,17
Herb_Bag_207,21,11,26,0,6,29,11
Herb_Bag_208,15,24,13,24,18,4,22
Herb_Bag_209,13,27,20,6,6,31,22
Herb_Bag_210,20,12,25,18,8,14,23
Herb_Bag_211,11,31,17,16,11,23,12
Herb_Bag_212,13,33,17,3,7,21,25
Herb_Bag_213,24,20,20,26,4,0,22
Herb_Bag_214,15,28,24,26,8,26,9
Herb_Bag_215,23,11,34,6,9,25,12
Herb_Bag_216,22,27,17,27,9,18,18
Herb_Bag_217,25,19,14,17,14,5,12
Herb_Bag_218,19,14,23,16,11,19,21
Herb_Bag_219,26,22,15,28,4,14,9
Herb_Bag_220,19,28,20,25,16,18,21
Herb_Bag_221,26,13,20,22,3,5,12
Herb_Bag_222,27,32,23,32,17,22,4
Herb_Bag_223,24,31,18,6,7,28,15
Herb_Bag_224,18,23,26,21,5,43,18
Herb_Bag_225,24,10,20,12,12,25,11
Herb_Bag_226,13,19,20,61,3,20,18
Herb_Bag_227,24,32,19,12,7,14,8
Herb_Bag_228,28,24,15,32,3,39,17
Herb_Bag_229,16,10,26,35,12,24,17
Herb_Bag_230,24,21,19,6,18,12,9
Herb_Bag_231,13,13,28,24,9,35,0
Herb_Bag_232,26,0,10,31,11,17,10
Herb_Bag_233,8,29,20,3,16,17,18
Herb_Bag_234,26,16,21,24,8,21,13
Herb_Bag_235,15,10,21,30,6,11,18
Herb_Bag_236,20,41,17,25,8,20,15
Herb_Bag_237,20,23,17,14,14,13,16
Herb_Bag_238,29,42,24,0,9,19,14
Herb_Bag_239,12,29,19,66,3,27,12
Herb_Bag_240,15,10,28,46,12,2,6
Herb_Bag_241,11,30,21,36,13,13,15
Herb_Bag_242,31,37,14,31,10,11,14
Herb_Bag_243,23,25,22,1,8,25,20
Herb_Bag_244,19,20,29,23,17,21,17
Herb_Bag_245,25,33,19,44,6,28,11
Herb_Bag_246,16,17,22,35,12,32,9
Herb_Bag_247,21,31,22,0,8,27,2
Herb_Bag_248,21,27,22,36,8,15,9
Herb_Bag_249,15,8,32,25,14,16,11
Herb_Bag_250,25,34,32,23,10,21,11
Herb_Bag_251,17,20,14,8,10,10,20
Herb_Bag_252,32,21,25,0,7,7,11
Herb_Bag_253,32,55,12,22,3,11,16
Herb_Bag_254,37,11,22,14,6,31,13
Herb_Bag_255,16,31,13,31,5,27,7
Herb_Bag_256,17,46,14,58,10,32,9
Herb_Bag_257,26,40,29,17,15,27,14
Herb_Bag_258,18,24,21,15,5,16,12
Herb_Bag_259,32,25,30,8,17,28,18
Herb_Bag_260,20,33,24,43,13,24,15
Herb_Bag_261,26,11,38,32,3,22,12
Herb_Bag_262,24,25,16,30,12,28,14
Herb_Bag_263,18,12,16,30,11,16,23
Herb_Bag_264,30,0,28,46,6,23,0
Herb_Bag_265,16,38,11,31,14,15,15
Herb_Bag_266,17,5,13,19,14,11,3
Herb_Bag_267,24,10,31,11,8,19,0
Herb_Bag_268,17,34,13,26,1,18,18
Herb_Bag_269,33,16,23,16,8,25,22
Herb_Bag_270,17,19,19,18,13,14,25
Herb_Bag_271,10,23,18,43,5,23,15
Herb_Bag_272,14,21,22,0,6,22,12
Herb_Bag_273,21,31,20,34,3,22,6
Herb_Bag_274,16,18,22,39,10,34,19
Herb_Bag_275,16,23,18,19,9,23,17
Herb_Bag_276,15,24,25,27,12,9,8
Herb_Bag_277,10,39,13,14,8,28,11
Herb_Bag_278,14,33,26,37,14,35,17
Herb_Bag_279,9,18,25,21,17,17,16
Herb_Bag_280,15,2,23,1,5,11,8
Herb_Bag_281,19,45,22,16,0,30,9
Herb_Bag_282,27,23,19,30,11,25,15
Herb_Bag_283,9,40,15,13,15,9,7
Herb_Bag_284,19,27,18,30,15,26,16
Herb_Bag_285,14,13,21,10,5,26,13
Herb_Bag_286,23,36,16,26,13,10,12
Herb_Bag_287,22,23,25,0,8,18,25
Herb_Bag_288,25,25,29,0,18,30,11
Herb_Bag_289,11,0,16,27,4,16,16
Herb_Bag_290,22,37,20,39,12,20,10
Herb_Bag_291,32,12,26,27,9,29,7
Herb_Bag_292,14,42,15,40,13,21,17
Herb_Bag_293,21,12,19,32,13,15,1
Herb_Bag_294,6,17,26,31,9,14,14
Herb_Bag_295,19,33,14,5,11,17,13
Herb_Bag_296,15,10,22,24,4,25,16
Herb_Bag_297,22,27,24,37,19,25,12
Herb_Bag_298,3,32,23,2,9,17,5
Herb_Bag_299,30,20,18,21,14,10,18
Herb_Bag_300,10,25,24,11,8,27,7
Herb_Bag_301,17,14,26,12,19,7,21
Herb_Bag_302,7,9,26,37,9,11,7
Herb_Bag_303,15,23,19,9,10,14,22
Herb_Bag_304,28,25,15,35,15,18,24
Herb_Bag_305,18,28,18,12,19,23,8
Herb_Bag_306,17,22,17,25,11,23,19
Herb_Bag_307,25,27,23,33,0,19,22
Herb_Bag_308,17,18,14,37,9,14,16
Herb_Bag_309,25,9,31,12,14,22,20
Herb_Bag_310,21,17,13,29,3,30,17
Herb_Bag_311,5,24,24,37,16,17,12
Herb_Bag_312,11,11,23,20,18,32,15
Herb_Bag_313,19,22,22,4,13,19,23
Herb_Bag_314,21,29,25,34,7,16,23
Herb_Bag_315,15,0,18,27,14,31,20
Herb_Bag_316,18,14,23,16,4,21,5
Herb_Bag_317,18,22,20,24,11,32,31
Herb_Bag_318,27,26,30,37,10,10,17
Herb_Bag_319,18,17,21,15,2,12,13
Herb_Bag_320,6,14,24,44,3,27,20
Herb_Bag_321,18,16,20,20,4,18,6
Herb_Bag_322,28,18,28,19,16,19,14
Herb_Bag_323,12,32,23,3,4,9,27
Herb_Bag_324,16,41,16,11,16,25,10
Herb_Bag_325,16,32,20,35,13,13,13
Herb_Bag_326,26,3,25,18,8,19,11
Herb_Bag_327,23,38,14,21,3,14,10
Herb_Bag_328,28,35,16,20,9,25,16
Herb_Bag_329,6,23,21,0,4,13,17
Herb_Bag_330,17,27,21,29,11,11,15
Herb_Bag_331,28,21,18,0,5,22,16
Herb_Bag_332,7,7,21,21,10,17,15
Herb_Bag_333,25,31,19,23,17,23,14
Herb_Bag_334,16,17,26,12,12,22,11
Herb_Bag_335,17,21,18,6,9,20,19
Herb_Bag_336,15,36,30,5,13,29,10
Herb_Bag_337,21,22,13,42,8,23,12
Herb_Bag_338,23,14,21,19,15,28,7
Herb_Bag_339,20,22,19,25,2,36,15
Herb_Bag_340,13,29,16,18,8,17,26
Herb_Bag_341,35,22,14,23,14,25,22
Herb_Bag_342,19,18,29,29,8,21,20
Herb_Bag_343,14,22,18,15,11,21,11
Herb_Bag_344,25,19,12,35,20,9,16
Herb_Bag_345,12,23,19,9,13,21,8
Herb_Bag_346,21,40,16,30,7,16,0
Herb_Bag_347,20,18,9,0,6,20,12
Herb_Bag_348,34,30,18,0,2,20,9
Herb_Bag_349,15,24,11,30,5,21,21
Herb_Bag_350,20,31,30,10,9,15,14
Herb_Bag_351,18,21,6,28,6,9,20
Herb_Bag_352,12,29,15,33,11,17,17
Herb_Bag_353,30,21,16,25,9,17,10
Herb_Bag_354,8,19,16,38,12,34,11
Herb_Bag_355,15,42,26,22,7,13,14
Herb_Bag_356,22,14,18,39,13,11,19
Herb_Bag_357,22,20,16,19,0,19,8
Herb_Bag_358,9,26,22,44,5,23,14
Herb_Bag_359,19,30,22,37,0,31,18
Herb_Bag_360,31,20,26,35,8,27,22
Herb_Bag_361,14,22,22,28,12,12,8
Herb_Bag_362,10,26,21,41,17,15,18
Herb_Bag_363,17,21,25,36,0,24,18
Herb_Bag_364,17,15,21,11,19,0,17
Herb_Bag_365,6,19,18,17,9,22,14
Herb_Bag_366,21,40,25,16,12,10,4
Herb_Bag_367,18,26,21,25,20,15,13
Herb_Bag_368,19,11,20,10,15,7,9
Herb_Bag_369,17,26,17,3,10,11,14
Herb_Bag_370,10,33,12,23,7,11,8
Herb_Bag_371,21,27,23,6,12,37,17
Herb_Bag_372,13,21,21,10,17,16,23
Herb_Bag_373,23,32,21,35,19,25,12
Herb_Bag_374,15,4,16,26,14,19,18
Herb_Bag_375,32,21,17,44,18,25,10
Herb_Bag_376,19,20,18,11,13,7,19
Herb_Bag_377,23,30,28,0,12,14,11
Herb_Bag_378,24,21,23,8,13,16,26
Herb_Bag_379,30,26,13,33,15,9,5
Herb_Bag_380,6,32,22,40,10,14,15
Herb_Bag_381,22,22,18,8,6,9,26
Herb_Bag_382,19,13,24,29,11,27,6
Herb_Bag_383,11,9,17,11,17,20,10
Herb_Bag_384,27,7,25,1,0,20,24
Herb_Bag_385,15,32,23,0,7,21,11
Herb_Bag_386,16,12,20,0,6,25,0
Herb_Bag_387,20,19,18,21,8,21,21
Herb_Bag_388,17,33,27,18,6,17,8
Herb_Bag_389,23,18,24,20,17,19,22
Herb_Bag_390,21,15,14,22,14,17,17
Herb_Bag_391,35,14,3,12,17,9,13
Herb_Bag_392,22,21,18,6,12,15,11
Herb_Bag_393,28,45,10,29,13,13,0
Herb_Bag_394,20,16,21,22,10,17,23
Herb_Bag_395,26,27,16,17,10,22,21
Herb_Bag_396,19,32,21,35,8,19,9
Herb_Bag_397,18,30,20,24,9,13,21
Herb_Bag_398,10,32,15,19,9,16,3
Herb_Bag_399,24,37,5,21,7,18,18
Herb_Bag_400,17,12,28,3,4,10,3
Herb_Bag_401,25,19,11,21,6,21,17
Herb_Bag_402,13,24,19,18,6,24,6
Herb_Bag_403,16,17,15,22,4,21,15
Herb_Bag_404,12,29,19,31,4,28,19
Herb_Bag_405,24,30,14,37,9,6,9
Herb_Bag_406,18,0,29,23,3,29,8
Herb_Bag_407,20,35,23,23,12,31,18
Herb_Bag_408,21,18,15,29,9,18,13
Herb_Bag_409,17,38,15,23,12,25,22
Herb_Bag_410,16,30,11,27,0,30,20
Herb_Bag_411,22,29,20,22,23,25,20
Herb_Bag_412,22,13,26,5,4,13,6
Herb_Bag_413,13,17,23,5,9,16,17
Herb_Bag_414,8,21,20,19,14,19,14
Herb_Bag_415,29,19,13,13,15,18,12
Herb_Bag_416,15,33,15,0,3,18,16
Herb_Bag_417,11,24,10,7,10,14,13
Herb_Bag_418,7,19,11,3,9,21,22
Herb_Bag_419,18,20,16,16,9,25,16
Herb_Bag_420,18,27,27,6,7,23,18
Herb_Bag_421,16,18,12,40,16,16,10
Herb_Bag_422,19,14,28,44,10,19,13
Herb_Bag_423,15,29,20,45,2,14,2
Herb_Bag_424,23,29,20,0,13,33,6
Herb_Bag_425,20,9,18,8,7,18,12
Herb_Bag_426,27,28,19,23,13,26,18
Herb_Bag_427,17,25,15,42,8,16,16
Herb_Bag_428,13,33,19,6,10,9,7
Herb_Bag_429,27,47,26,1,9,26,18
Herb_Bag_430,9,20,15,37,6,9,11
Herb_Bag_431,2,36,28,35,7,23,25
Herb_Bag_432,23,24,11,26,9,12,12
Herb_Bag_433,25,29,19,14,17,34,11
Herb_Bag_434,23,28,22,0,5,23,17
Herb_Bag_435,18,24,23,27,13,22,3
Herb_Bag_436,17,35,20,27,4,21,5
Herb_Bag_437,25,1,28,16,10,13,19
Herb_Bag_438,10,32,19,6,15,22,5
Herb_Bag_439,27,14,36,39,6,10,3
Herb_Bag_440,13,10,13,0,8,28,16
Herb_Bag_441,23,0,19,33,8,12,8
Herb_Bag_442,26,7,21,34,12,10,11
Herb_Bag_443,12,18,25,25,5,20,17
Herb_Bag_444,18,30,24,49,15,19,20
Herb_Bag_445,23,27,22,40,16,22,15
Herb_Bag_446,14,16,20,0,14,26,23
Herb_Bag_447,27,21,9,35,15,30,13
Herb_Bag_448,22,26,23,27,5,13,14
Herb_Bag_449,6,43,24,29,3,29,14
Herb_Bag_450,22,15,19,25,13,22,23
Herb_Bag_451,22,16,26,7,15,19,23
Herb_Bag_452,12,27,14,22,15,9,7
Herb_Bag_453,17,31,9,17,12,21,15
Herb_Bag_454,19,13,23,31,14,27,15
Herb_Bag_455,16,27,22,18,5,20,18
Herb_Bag_456,17,30,30,6,14,24,15
Herb_Bag_457,18,17,18,41,11,23,8
Herb_Bag_458,32,5,22,47,17,36,20
Herb_Bag_459,28,18,26,44,12,23,11
Herb_Bag_460,29,27,34,16,9,11,11
Herb_Bag_461,26,27,21,27,7,28,11
Herb_Bag_462,12,40,12,26,12,21,23
Herb_Bag_463,8,15,11,19,7,11,13
Herb_Bag_464,18,15,16,17,16,14,23
Herb_Bag_465,22,29,18,10,10,17,0
Herb_Bag_466,13,17,26,31,6,22,3
Herb_Bag_467,11,0,35,23,14,25,10
Herb_Bag_468,22,29,19,23,4,13,11
Herb_Bag_469,22,21,14,0,13,21,30
Herb_Bag_470,23,17,18,16,9,33,13
Herb_Bag_471,1,34,12,22,9,12,13
Herb_Bag_472,26,13,24,41,7,22,19
Herb_Bag_473,15,20,15,20,8,31,9
Herb_Bag_474,25,29,13,27,4,19,14
Herb_Bag_475,34,8,21,39,11,16,20
Herb_Bag_476,32,10,31,0,10,38,16
Herb_Bag_477,20,39,27,13,11,11,14
Herb_Bag_478,29,23,28,18,10,18,21
Herb_Bag_479,16,12,22,33,18,23,7
Herb_Bag_480,18,13,9,3,4,27,27
Herb_Bag_481,24,35,21,23,8,23,17
Herb_Bag_482,21,17,23,26,5,34,30
Herb_Bag_483,28,22,24,40,10,21,14
Herb_Bag_484,23,15,19,19,7,9,15
Herb_Bag_485,28,31,9,17,11,22,19
Herb_Bag_486,28,20,24,34,16,26,20
Herb_Bag_487,26,28,20,0,10,17,12
Herb_Bag_488,24,32,22,30,15,21,9
Herb_Bag_489,9,8,15,30,5,21,14
Herb_Bag_490,23,21,25,24,13,24,11
Herb_Bag_491,12,20,15,25,8,15,25
Herb_Bag_492,24,10,14,6,10,19,13
Herb_Bag_493,29,19,30,25,10,23,17
Herb_Bag_494,26,29,26,36,2,23,6
Herb_Bag_495,6,4,21,14,6,17,24
Herb_Bag_496,19,22,12,40,1,21,23
Herb_Bag_497,12,28,18,40,12,14,22
Herb_Bag_498,16,26,13,32,7,15,23
Herb_Bag_499,18,19,20,26,3,19,14
Herb_Bag_500,16,21,23,9,12,18,16
Herb_Bag_501,15,26,14,17,16,23,9
Herb_Bag_502,23,10,31,55,6,26,3
Herb_Bag_503,27,0,30,34,11,27,11
Herb_Bag_504,12,16,24,9,5,19,13
Herb_Bag_505,24,21,14,0,13,26,11
Herb_Bag_506,21,20,19,21,9,16,23
Herb_Bag_507,35,31,11,37,10,17,19
Herb_Bag_508,19,30,23,32,2,34,18
Herb_Bag_509,23,19,22,30,9,16,19
Herb_Bag_510,12,22,22,14,4,36,15
Herb_Bag_511,21,29,7,16,12,23,15
Herb_Bag_512,21,24,17,48,8,28,18
Herb_Bag_513,18,12,28,24,1,30,9
Herb_Bag_514,10,40,16,39,10,10,19
Herb_Bag_515,24,22,25,6,11,19,11
Herb_Bag_516,23,26,21,2,3,25,14
Herb_Bag_517,14,26,16,21,14,15,13
Herb_Bag_518,21,17,25,22,7,11,7
Herb_Bag_519,11,14,23,33,16,29,17
Herb_Bag_520,20,18,27,26,1,13,12
Herb_Bag_521,16,43,19,11,16,7,7
Herb_Bag_522,19,26,21,20,9,19,4
Herb_Bag_523,24,18,22,11,12,23,15
Herb_Bag_524,32,15,27,16,12,16,3
Herb_Bag_525,25,22,15,25,18,26,6
Herb_Bag_526,26,29,38,18,11,15,9
Herb_Bag_527,13,17,13,0,12,17,15
Herb_Bag_528,20,23,12,50,10,16,12
Herb_Bag_529,18,12,12,8,3,31,15
Herb_Bag_530,19,20,17,29,14,10,15
Herb_Bag_531,22,29,25,19,16,23,17
Herb_Bag_532,20,26,27,6,6,18,15
Herb_Bag_533,28,2,12,41,5,26,12
Herb_Bag_534,14,12,13,10,14,28,10
Herb_Bag_535,32,31,21,24,10,16,9
Herb_Bag_536,17,14,33,13,9,20,16
Herb_Bag_537,12,18,19,27,11,22,5
Herb_Bag_538,26,27,25,31,7,16,23
Herb_Bag_539,20,36,17,40,13,25,13
Herb_Bag_540,20,31,18,7,11,25,14
Herb_Bag_541,22,22,20,7,7,26,22
Herb_Bag_542,23,15,24,28,13,21,22
Herb_Bag_543,22,27,17,13,11,27,9
Herb_Bag_544,23,39,20,0,17,17,15
Herb_Bag_545,21,17,10,17,13,14,24
Herb_Bag_546,19,30,21,16,16,31,25
Herb_Bag_547,15,11,11,24,17,15,17
Herb_Bag_548,15,21,30,30,2,28,15
Herb_Bag_549,19,17,20,18,3,17,6
Herb_Bag_550,18,22,23,16,16,26,15
Herb_Bag_551,11,25,21,22,11,24,15
Herb_Bag_552,24,16,30,31,4,27,9
Herb_Bag_553,26,9,6,35,17,26,11
Herb_Bag_554,23,26,29,7,2,24,9
Herb_Bag_555,25,34,27,22,12,22,4
Herb_Bag_556,36,30,15,19,0,13,29
Herb_Bag_557,25,22,15,0,14,30,15
Herb_Bag_558,20,17,23,22,9,24,7
Herb_Bag_559,16,20,20,19,3,20,21
Herb_Bag_560,30,34,13,14,7,24,11
Herb_Bag_561,21,21,12,30,11,14,15
Herb_Bag_562,17,25,10,38,9,14,6
Herb_Bag_563,23,13,17,37,10,26,21
Herb_Bag_564,16,14,15,33,27,16,24
Herb_Bag_565,14,26,21,3,6,16,6
Herb_Bag_566,13,20,21,4,13,21,10
Herb_Bag_567,21,36,14,13,11,19,13
Herb_Bag_568,16,23,17,17,18,22,22
Herb_Bag_569,26,12,9,29,7,15,15
Herb_Bag_570,26,1,17,36,9,24,6
Herb_Bag_571,23,26,18,24,13,27,12
Herb_Bag_572,17,16,24,20,6,23,19
Herb_Bag_573,31,22,24,27,11,8,11
Herb_Bag_574,17,19,20,22,9,14,12
Herb_Bag_575,27,21,20,12,13,7,18
Herb_Bag_576,29,23,19,27,10,25,10
Herb_Bag_577,28,36,24,2,8,3,18
